fra;jour;clage_90;PourAvec;tx_indic_7J_DC;tx_indic_7J_hosp;tx_indic_7J_SC;tx_prev_hosp;tx_prev_SC
FR;2020-06-05;0;0;0.470833678822445;1.16963429707474;0.15048797962363;14.656933223343;1.28287277679154
FR;2020-06-05;0;1;;0;0;0;0
FR;2020-06-05;0;2;;0;0;0;0
FR;2020-06-06;0;0;0.451463938870889;1.14728459713064;0.15048797962363;13.9298229851615;1.21433369696295
FR;2020-06-06;0;1;;0;0;0;0
FR;2020-06-06;0;2;;0;0;0;0
FR;2020-06-07;0;0;0.420174358949144;1.10854511722753;0.147508019631082;13.8270143654186;1.19347397701512
FR;2020-06-07;0;1;;0;0;0;0
FR;2020-06-07;0;2;;0;0;0;0
FR;2020-06-08;0;0;0.399314639001314;1.09960523724989;0.151977959619903;13.8881035452659;1.19645393700767
FR;2020-06-08;0;1;;0;0;0;0
FR;2020-06-08;0;2;;0;0;0;0
FR;2020-06-09;0;0;0.365045099087022;1.04596595738404;0.147508019631082;13.4276997264173;1.12642487718281
FR;2020-06-09;0;1;;0;0;0;0
FR;2020-06-09;0;2;;0;0;0;0
FR;2020-06-10;0;0;0.329285579176457;1.01467637746229;0.157937879604997;13.011995307457;1.09513529726107
FR;2020-06-10;0;1;;0;0;0;0
FR;2020-06-10;0;2;;0;0;0;0
FR;2020-06-11;0;0;0.314385779213721;0.975936897559182;0.159427859601271;12.6499301683625;1.04745593738031
FR;2020-06-11;0;1;;0;0;0;0
FR;2020-06-11;0;2;;0;0;0;0
FR;2020-06-12;0;0;0.302465939243533;0.935707437659796;0.148997999627356;12.2357157293985;1.00275653749211
FR;2020-06-12;0;1;;0;0;0;0
FR;2020-06-12;0;2;;0;0;0;0
FR;2020-06-13;0;0;0.281606219295703;0.889518057775315;0.144528059638535;11.8691806503152;0.966997017581541
FR;2020-06-13;0;1;;0;0;0;0
FR;2020-06-13;0;2;;0;0;0;0
FR;2020-06-14;0;0;0.281606219295703;0.916337697708239;0.143038079642262;11.8319311504083;0.956567157607625
FR;2020-06-14;0;1;;0;0;0;0
FR;2020-06-14;0;2;;0;0;0;0
FR;2020-06-15;0;0;0.271176359321788;0.89994791774923;0.147508019631082;11.8915303502593;0.96252707759272
FR;2020-06-15;0;1;;0;0;0;0
FR;2020-06-15;0;2;;0;0;0;0
FR;2020-06-16;0;0;0.247336679381411;0.916337697708239;0.156447899608724;11.5294652111648;0.925277577685881
FR;2020-06-16;0;1;;0;0;0;0
FR;2020-06-16;0;2;;0;0;0;0
FR;2020-06-17;0;0;0.250316639373958;0.87461825781258;0.13409819966462;11.1346205121523;0.888028077779042
FR;2020-06-17;0;1;;0;0;0;0
FR;2020-06-17;0;2;;0;0;0;0
FR;2020-06-18;0;0;0.236906819407496;0.864188397838665;0.126648299683253;10.8336445529051;0.852268557868476
FR;2020-06-18;0;1;;0;0;0;0
FR;2020-06-18;0;2;;0;0;0;0
FR;2020-06-19;0;0;0.224986979437308;0.862698417842391;0.113238479716791;10.5430984536317;0.813529077965364
FR;2020-06-19;0;1;;0;0;0;0
FR;2020-06-19;0;2;;0;0;0;0
FR;2020-06-20;0;0;0.22200701944476;0.883558137790221;0.105788579735423;10.2167928344478;0.789689398024987
FR;2020-06-20;0;1;;0;0;0;0
FR;2020-06-20;0;2;;0;0;0;0
FR;2020-06-21;0;0;0.211577159470846;0.8790881978014;0.10876853972797;10.2182828144441;0.78670943803244
FR;2020-06-21;0;1;;0;0;0;0
FR;2020-06-21;0;2;;0;0;0;0
FR;2020-06-22;0;0;0.187737479530469;0.865678377834938;0.104298599739149;10.2495723943658;0.795649318010081
FR;2020-06-22;0;1;;0;0;0;0
FR;2020-06-22;0;2;;0;0;0;0
FR;2020-06-23;0;0;0.187737479530469;0.838858737902014;0.0864188397838665;9.92773671517073;0.755419858110695
FR;2020-06-23;0;1;;0;0;0;0
FR;2020-06-23;0;2;;0;0;0;0
FR;2020-06-24;0;0;0.189227459526742;0.828428877928099;0.0953587197615078;9.66848019581913;0.728600218177771
